address,SafeMath String,SafeMath function,add,sub1,sub2,mul,div1,div2,success analysis,error msg
0x000000000000cb2d80a37898be43579c7b616844,True,True,1,1,0,1,1,0,True,
0x0000000000095413afc295d19edeb1ad7b71c952,,,0,0,0,0,0,0,True,
0x0000000000e0428fba1ab7d829056d1a0c03bc50,True,True,1,1,0,1,1,0,True,
0x0000000006a0403952389b70d8ee4e45479023db,True,True,1,1,0,1,1,0,True,
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,,,0,0,0,0,0,0,True,
0x000000003a8dbf47cd362eda39b3a5f3fc6e99ce,True,True,1,1,0,1,1,0,True,
0x00000000d49a1772a9ed1533f0d6b7f54a4a814e,,,0,0,0,0,0,0,True,
0x000c9e174c840d3a9bbd608cd70b64dfdf726b94,True,True,1,1,0,1,1,0,True,
0x000e8452255e6ace2b448a26c2b9f4c25baeadb8,,,0,0,0,0,0,0,True,
0x001385c23468cb4614831ad9205f041cf64a2958,True,True,1,1,0,1,1,0,True,
0x00296f70dc76e17ab3905863b3194a2d7c3e559a,True,True,1,1,0,1,1,0,True,
0x002c07fbb1551404067e27ba7c7bf9dea2646ab3,True,True,1,1,0,1,1,0,True,
0x002c760099e0ad4917b5d12feaeff62b5fbf0785,True,True,1,1,0,1,1,0,True,
0x003163a2ee51ce13ba6d453f06f0426d8f04f719,True,True,1,1,0,1,1,0,True,
0x00440cd01642fe9b6daf973001536ebdc28a1de1,True,True,1,1,0,1,1,0,True,
0x00627a15cf915f6db2ea899b906fee6aa9ec9bbc,,,0,0,0,0,0,0,True,
0x0062bb52986ebeae585898e63667d9d760ff75a0,,,0,0,0,0,0,0,True,
0x0072232b475cf2bb9552994926d3d039715c2606,True,True,1,1,0,1,1,0,True,
0x009109ab7b8caff748cda2f272f36043528bef2c,True,True,1,1,0,1,1,0,True,
0x00a62ee3d2998f67cc202990b792573961d282e6,True,True,4,4,0,4,2,0,True,
0x00a6501ba97246744874637a48d6e50df3155936,True,True,1,1,0,1,1,0,True,
0x00e76f93581f05ff176e49930357003765e88283,,,0,0,0,0,0,0,True,
0x010cad103787c4a31d22dd0458cf4696bfc2ba44,,,0,0,0,0,0,0,True,
0x012819cf349b127df3922f62e9be386564f5d164,,True,0,1,0,0,0,0,True,
0x0168641651b4df695f904934fa3a5bac06599768,True,True,1,1,0,1,1,0,True,
0x019c748131a079b20d99fd8db94d221de88f5855,True,,0,0,0,0,0,0,True,
0x01b66a876b03176c669276480e8c8699f3b60db0,True,True,3,3,0,3,1,0,,'NoneType' object has no attribute 'state_variables_read'
0x01d1a934129f208dfbe60ef31ca63f4ad2757d84,,,0,0,0,0,0,0,True,
0x01db9cf9e6d4f4624723f982dc096d2d07612fce,True,True,1,1,0,1,1,0,True,
0x01e7e854b76d59a8623dff07deacbda6ef60d981,True,True,1,1,0,1,1,0,True,
0x01f09038c19c68aa79dc0508f28d25a33cfdc579,True,True,1,1,0,1,1,0,True,
0x01f48f0c628f21bfc3f8cd9c6f87129900fe38a5,True,True,1,1,0,1,1,0,True,
0x0205ae93e18aa23d31e3df53899547b986e419c5,,,0,0,0,0,0,0,True,
0x0222c64f84f1e8ea57e0ee8e1038e84c268586bf,True,True,2,2,0,2,1,0,True,
0x023340be9c2a7f69e8b7c9fd907a9876998af4ac,True,True,1,1,0,1,1,0,True,
0x0233421a43929a0b98eea6726c67fdef713cee96,True,True,1,1,0,1,1,0,True,
0x023f58e2de536fdd92a0a40635f849f9b8903bda,,,0,0,0,0,0,0,True,
0x0247c57d339a79ea2ca1139d79e4d06417dd9979,True,True,1,1,0,1,1,0,True,
0x02543473ebe34c5c5675f3c9d00912d289259304,True,True,0,0,0,2,2,0,True,
0x027577a075c39baf18145f0cdf62a6fb23dc49b5,,,0,0,0,0,0,0,True,
0x0279a306a8a16aa07a802da617224e96c05c6d6c,True,True,1,1,0,1,1,0,True,
0x027d5602aa433a7f5c5444c3e820bc4a714b000a,True,True,1,1,0,1,0,0,True,
0x027ea05c0110126327e8ea5c14d39661b29141ac,True,True,1,1,0,1,1,0,True,
0x029fac98fdc8fb0b74e0fdd3c2d356000c8cb232,True,True,1,1,0,1,1,0,,'bool'
0x02cd698b085cd7581a31edb84f560f4d3391d7fb,True,True,1,1,0,1,1,0,True,
0x02d107567020bce1eb524d80c44f899fa9993e5f,True,True,1,1,0,1,1,0,True,
0x02d181d796255fb55784df7da7e366d276127750,True,True,1,1,0,1,1,0,True,
0x02feb872866ab4f58d756e0fa9c9cabea7983031,True,True,1,1,0,1,1,0,True,
0x0309b42c1dc9ed9d95c06aa32646eea1ca232d95,,,0,0,0,0,0,0,True,
0x0316508a1b5abf1cae42912dc2c8b9774b682ffc,True,True,1,1,0,1,1,0,True,
0x03284165afaeee587a4823ee3b5471f34aca4b2f,True,True,1,1,0,1,1,0,True,
0x032aee71892656fbd53f1d60e47471bdaef09b7f,True,True,1,1,0,1,1,0,True,
