contract,fp,reason
2018-10299.sol,"[RepairTarget] PausableToken:batchTransfer:262
CODE: i++
OPERATION: [++] i
SSA: i_2 [+] 1 --> i_3
",context_constrain
2018-10468.sol,"[RepairTarget] UselessEthereumToken:transferFrom:49
CODE: msg.data.length < (3 * 32) + 4
OPERATION: 3 [*] 32
SSA: 3 [*] 32 --> TMP_10
",safe_range
2018-10468.sol,"[RepairTarget] UselessEthereumToken:transferFrom:49
CODE: msg.data.length < (3 * 32) + 4
OPERATION: (3 * 32) [+] 4
SSA: TMP_10 [+] 4 --> TMP_11
",safe_range
2018-10468.sol,"[RepairTarget] UselessEthereumToken:transferFrom:58
CODE: bool overflowed = balances[_to] + _value > balances[_to]
OPERATION: balances[_to] [+] _value
SSA: REF_11 [+] _value_1 --> TMP_16
",safe_check
2018-10706.sol,"[RepairTarget] Token:transferMulti:249
CODE: j++
OPERATION: [++] j
SSA: j_1 [+] 1 --> j_2
",context_constrain
2018-10706.sol,"[RepairTarget] Token:transferMulti:253
CODE: i++
OPERATION: [++] i
SSA: i_1 [+] 1 --> i_2
",context_constrain
2018-11239.sol,"[RepairTarget] Hexagon:burn:41
CODE: balanceOf[msg.sender] -= _value
OPERATION: balanceOf[msg.sender] [-=] _value
SSA: REF_2 [-] _value_1 --> REF_2
",context_constrain
2018-11411.sol,"[RepairTarget] DimonCoin:distributeFUD:43
CODE: i++
OPERATION: [++] i
SSA: i_2 [+] 1 --> i_3
",context_constrain
2018-11411.sol,"[RepairTarget] DimonCoin:transfer:70
CODE: bool overflowed = balances[_to] + _value < balances[_to]
OPERATION: balances[_to] [+] _value
SSA: REF_9 [+] _value_1 --> TMP_10
",safe_check
2018-11411.sol,"[RepairTarget] DimonCoin:transferFrom:90
CODE: bool overflowed = balances[_to] + _value > balances[_to]
OPERATION: balances[_to] [+] _value
SSA: REF_16 [+] _value_1 --> TMP_20
",safe_check
2018-11561.sol,"[RepairTarget] StandardToken:transfer:51
CODE: balances[msg.sender] -= _value
OPERATION: balances[msg.sender] [-=] _value
SSA: REF_1 [-] _value_1 --> REF_1
",context_constrain
2018-11561.sol,"[RepairTarget] StandardToken:transferFrom:63
CODE: balances[_from] -= _value
OPERATION: balances[_from] [-=] _value
SSA: REF_7 [-] _value_1 --> REF_7
",context_constrain
