contract,target,fp_tag,filtered
2018-10299.sol,"[RepairTarget] PausableToken:batchTransfer:257
CODE: uint256 amount = uint256(cnt) * _value
OPERATION: uint256(cnt) [*] _value
SSA: TMP_111 [*] _value_1 --> TMP_112
",,
2018-10299.sol,"[RepairTarget] PausableToken:batchTransfer:262
CODE: i++
OPERATION: [++] i
SSA: i_2 [+] 1 --> i_3
",1.0,1.0
2018-10468.sol,"[RepairTarget] UselessEthereumToken:transferFrom:49
CODE: msg.data.length < (3 * 32) + 4
OPERATION: 3 [*] 32
SSA: 3 [*] 32 --> TMP_10
",1.0,1.0
2018-10468.sol,"[RepairTarget] UselessEthereumToken:transferFrom:49
CODE: msg.data.length < (3 * 32) + 4
OPERATION: (3 * 32) [+] 4
SSA: TMP_10 [+] 4 --> TMP_11
",1.0,1.0
2018-10468.sol,"[RepairTarget] UselessEthereumToken:transferFrom:58
CODE: bool overflowed = balances[_to] + _value > balances[_to]
OPERATION: balances[_to] [+] _value
SSA: REF_11 [+] _value_1 --> TMP_16
",1.0,1.0
2018-10468.sol,"[RepairTarget] UselessEthereumToken:transferFrom:61
CODE: balances[_to] += _value
OPERATION: balances[_to] [+=] _value
SSA: REF_13 [+] _value_1 --> REF_13
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:transferFrom:62
CODE: balances[_from] -= _value
OPERATION: balances[_from] [-=] _value
SSA: REF_14 [-] _value_1 --> REF_14
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:transferFrom:64
CODE: allowed[_from][msg.sender] -= _value
OPERATION: allowed[_from][msg.sender] [-=] _value
SSA: REF_16 [-] _value_1 --> REF_16
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:fallback:119
CODE: totalContribution += msg.value
OPERATION: totalContribution [+=] msg.value
SSA: totalContribution_2 [+] msg.value --> totalContribution_3
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:fallback:121
CODE: uint256 tokensIssued = (msg.value * 100)
OPERATION: msg.value [*] 100
SSA: msg.value [*] 100 --> TMP_36
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:fallback:124
CODE: tokensIssued += totalContribution
OPERATION: tokensIssued [+=] totalContribution
SSA: tokensIssued_1 [+] totalContribution_3 --> tokensIssued_2
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:fallback:134
CODE: uint256 bonusTokensIssued = (msg.value * 100) * bonusMultiplier
OPERATION: msg.value [*] 100
SSA: msg.value [*] 100 --> TMP_40
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:fallback:134
CODE: uint256 bonusTokensIssued = (msg.value * 100) * bonusMultiplier
OPERATION: (msg.value * 100) [*] bonusMultiplier
SSA: TMP_40 [*] bonusMultiplier_3 --> TMP_41
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:fallback:135
CODE: tokensIssued += bonusTokensIssued
OPERATION: tokensIssued [+=] bonusTokensIssued
SSA: tokensIssued_2 [+] bonusTokensIssued_1 --> tokensIssued_3
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:fallback:137
CODE: totalBonusTokensIssued += bonusTokensIssued
OPERATION: totalBonusTokensIssued [+=] bonusTokensIssued
SSA: totalBonusTokensIssued_2 [+] bonusTokensIssued_1 --> totalBonusTokensIssued_3
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:fallback:141
CODE: totalSupply += tokensIssued
OPERATION: totalSupply [+=] tokensIssued
SSA: totalSupply_2 [+] tokensIssued_5 --> totalSupply_3
",,
2018-10468.sol,"[RepairTarget] UselessEthereumToken:fallback:142
CODE: balances[msg.sender] += tokensIssued
OPERATION: balances[msg.sender] [+=] tokensIssued
SSA: REF_27 [+] tokensIssued_5 --> REF_27
",,
2018-10706.sol,"[RepairTarget] Token:transferMulti:249
CODE: j++
OPERATION: [++] j
SSA: j_1 [+] 1 --> j_2
",1.0,1.0
2018-10706.sol,"[RepairTarget] Token:transferMulti:250
CODE: amount += _value[j]*10**uint256(decimals)
OPERATION: _value[j] [*] 10**uint256(decimals)
SSA: REF_27 [*] TMP_48 --> TMP_49
",,
2018-10706.sol,"[RepairTarget] Token:transferMulti:250
CODE: amount += _value[j]*10**uint256(decimals)
OPERATION: amount [+=] _value[j]*10**uint256(decimals)
SSA: amount_1 [+] TMP_49 --> amount_2
",,
2018-10706.sol,"[RepairTarget] Token:transferMulti:253
CODE: i++
OPERATION: [++] i
SSA: i_1 [+] 1 --> i_2
",1.0,1.0
2018-10706.sol,"[RepairTarget] Token:transferMulti:256
CODE: balanceOf[_toI] += _valueI
OPERATION: balanceOf[_toI] [+=] _valueI
SSA: REF_31 [+] _valueI_1 --> REF_31
",,
2018-10706.sol,"[RepairTarget] Token:transferMulti:257
CODE: balanceOf[msg.sender] -= _valueI
OPERATION: balanceOf[msg.sender] [-=] _valueI
SSA: REF_32 [-] _valueI_1 --> REF_32
",,
2018-10706.sol,"[RepairTarget] Token:freeze:264
CODE: _value=_value*10**uint256(decimals)
OPERATION: _value [*] 10**uint256(decimals)
SSA: _value_1 [*] TMP_60 --> TMP_61
",,
2018-10706.sol,"[RepairTarget] Token:generateTokens:306
CODE: _amount=_amount*10**uint256(decimals)
OPERATION: _amount [*] 10**uint256(decimals)
SSA: _amount_1 [*] TMP_82 --> TMP_83
",,
2018-10706.sol,"[RepairTarget] Token:destroyTokens:323
CODE: _amount=_amount*10**uint256(decimals)
OPERATION: _amount [*] 10**uint256(decimals)
SSA: _amount_1 [*] TMP_90 --> TMP_91
",,
2018-10706.sol,"[RepairTarget] Token:changeOwner:338
CODE: balanceOf[newOwner] += balanceOf[owner]
OPERATION: balanceOf[newOwner] [+=] balanceOf[owner]
SSA: REF_56 [+] REF_57 --> REF_56
",,
2018-10706.sol,"[RepairTarget] Token:changeAirdropTotalQty:363
CODE: uint256 _token =_airdropTotalQty*10**uint256(decimals)
OPERATION: _airdropTotalQty [*] 10**uint256(decimals)
SSA: _airdropTotalQty_1 [*] TMP_102 --> TMP_103
",,
2018-11239.sol,"[RepairTarget] Hexagon:burn:41
CODE: balanceOf[msg.sender] -= _value
OPERATION: balanceOf[msg.sender] [-=] _value
SSA: REF_2 [-] _value_1 --> REF_2
",1.0,1.0
2018-11239.sol,"[RepairTarget] Hexagon:burn:43
CODE: balanceOf[0x0] += _value
OPERATION: balanceOf[0x0] [+=] _value
SSA: REF_3 [+] _value_1 --> REF_3
",,
2018-11239.sol,"[RepairTarget] Hexagon:burn:45
CODE: currentSupply -= _value
OPERATION: currentSupply [-=] _value
SSA: currentSupply_2 [-] _value_1 --> currentSupply_3
",,
2018-11335.sol,"[RepairTarget] SPXToken:mint:224
CODE: require(totalSupply + value <= TOKEN_LIMIT)
OPERATION: totalSupply [+] value
SSA: totalSupply_1 [+] value_1 --> TMP_76
",,
2018-11335.sol,"[RepairTarget] SPXToken:mint:226
CODE: balances[holder] += value
OPERATION: balances[holder] [+=] value
SSA: REF_92 [+] value_1 --> REF_92
",,
2018-11335.sol,"[RepairTarget] SPXToken:mint:227
CODE: totalSupply += value
OPERATION: totalSupply [+=] value
SSA: totalSupply_1 [+] value_1 --> totalSupply_2
",,
2018-11411.sol,"[RepairTarget] DimonCoin:distributeFUD:43
CODE: i++
OPERATION: [++] i
SSA: i_2 [+] 1 --> i_3
",1.0,1.0
2018-11411.sol,"[RepairTarget] DimonCoin:distributeFUD:47
CODE: balances[owner] -= _value
OPERATION: balances[owner] [-=] _value
SSA: REF_3 [-] _value_1 --> REF_3
",,
2018-11411.sol,"[RepairTarget] DimonCoin:distributeFUD:48
CODE: balances[addresses[i]] += _value
OPERATION: balances[addresses[i]] [+=] _value
SSA: REF_5 [+] _value_1 --> REF_5
",,
