Contract,Original Contract Deployment Gas,sGuardPlus Deployment Gas,Deployment Gas After Filtering False Positives,
2018-10299.sol-PausableToken,992267,1012486,1005080,1
2018-10468.sol-UselessEthereumToken,1357284,1456363,1450956,3
2018-10706.sol-Token,2481887,2593012,2583805,2
2018-11239.sol-Hexagon,705205,737637,725024,1
2018-11411.sol-DimonCoin,1060075,1208428,1198215,3
2018-11561.sol-StandardToken,531362,653259,596608,4
2018-11687.sol-BitcoinRed,814191,930108,896476,4
2018-12025-3.sol-UselessEthereumToken,1357284,1456363,1450956,3
2018-13071.sol-CCindexToken,2127838,2187902,2180495,3
2018-13091.sol-sumocoin,1298155,1365629,1358623,1
2018-13113.sol-StandardToken,440274,525738,471081,3
2018-13144.sol-StandardToken,435268,471481,453862,1
2018-13225.sol-token,934242,971881,934242,3
2018-13225.sol-MyYLCToken,1567266,1630935,1591693,4
2018-13326.sol-StandardToken,440274,525738,471081,3
2018-13327.sol-StandardToken,440274,525738,471081,3
2018-13493.sol-TokenERC20,976555,1027007,1014394,1
2018-13493.sol-DaddyToken,2085598,2196520,2189713,1
2018-13625.sol-Krown,3354419,3449939,3424707,2
2018-13703.sol-CERB_Coin,2392455,2453121,2446713,1
2018-13779.sol-token,934242,971881,934242,3
2018-13779.sol-YLCToken,1522890,1586559,1547317,4
2018-13836.sol-RocketCoin,1145107,1290461,1233400,5
2018-14001.sol-ExtendetdToken,719553,780588,755962,2
2018-14002.sol-MP3Coin,808820,853065,833446,3
2018-14003.sol-WMCToken,1177125,1238192,1213565,2
2018-14004.sol-Globecoin,3067168,3115019,3108012,1
2018-14005.sol-MalaysianCoin,1847866,1957385,1948371,3
2018-14006.sol-NGToken,2085271,2194995,2180380,3
2018-14576.sol-SunContractToken,1493572,1513999,1499978,2
2018-18665.sol-StandardToken,472172,533205,490767,2
2021-33403.sol-BlocklancerToken,3971399,4048683,4047283,1
BECToken.sol-PausableToken,993467,1013686,1006680,1
insecure_transfer.sol-IntegerOverflowAdd,109359,145166,127747,1
tokensalechallenge.sol-TokenSaleChallenge,152886,203335,185916,1
